test_image_id,train_image_id,pair_body,predicted_body,test_timestamp_utc,train_timestamp_utc,time_delta_s,predicted_range_km,true_range_test_km,true_range_train_km,relative_error_vs_train,result
co-iss-n1349081860,co-iss-n1349111860,jupiter,jupiter,2000-10-01T08:46:56.410,2000-10-01T17:06:56.200,29999.79,64664099.385332,84378098.270,84057941.209,0.230720,PASS
co-iss-n1349081893,co-iss-n1349093893,jupiter,jupiter,2000-10-01T08:47:28.278,2000-10-01T12:07:28.194,11999.916,64485469.137144,84377758.148,84249688.544,0.234591,PASS
co-iss-n1349099823,co-iss-n1349087823,jupiter,jupiter,2000-10-01T13:46:19.112,2000-10-01T10:26:19.196,11999.916,64307823.077266,84186393.641,84314459.246,0.237286,PASS
co-iss-n1349105639,co-iss-n1349093639,jupiter,jupiter,2000-10-01T15:23:11.503,2000-10-01T12:03:11.588,11999.915,126182413.971555,84124366.000,84252427.100,0.497671,FAIL_RANGE
co-iss-w1349105680,co-iss-w1349093680,jupiter,iapetus,2000-10-01T15:23:56.306,2000-10-01T12:03:56.390,11999.916,7218276.470588,,,,SKIP_DEGRADED
co-iss-n1349153551,co-iss-n1349105790,jupiter,jupiter,2000-10-02T04:41:46.186,2000-10-01T15:25:45.502,47760.684,63780709.356325,83613143.480,84122722.615,0.241814,PASS
co-iss-n1349159441,co-iss-n1349111680,jupiter,jupiter,2000-10-02T06:19:53.733,2000-10-01T17:03:53.069,47760.664,126868188.100492,83550339.106,84059895.387,0.509259,FAIL_RANGE
co-iss-n1355377888,co-iss-n1355379238,europa,europa,2000-12-13T05:40:00.978,2000-12-13T06:02:30.950,1349.972,15328280.156863,19626913.409,19609136.324,0.218309,PASS
co-iss-n1355377921,co-iss-n1373703270,europa,europa,2000-12-13T05:40:33.986,2001-07-13T08:00:54.784,18325220.798,15792773.494949,19626484.140,,,SKIP_SPICE
co-iss-n1355377954,co-iss-n1356766829,europa,europa,2000-12-13T05:41:06.990,2000-12-29T07:28:52.405,1388865.415,14476709.037037,19626054.651,9284559.052,0.559224,FAIL_RANGE
co-iss-n1355377994,co-iss-n1349165400,europa,europa,2000-12-13T05:41:42.398,2000-10-02T07:59:12.083,6212550.315,15328280.156863,19625593.577,83935305.673,0.817380,FAIL_RANGE
co-iss-n1355702131,co-iss-n1373704272,io,saturn,2000-12-16T23:43:59.773,2001-07-13T08:17:37.333,18002017.56,19062737.777205,,,,SKIP_DEGRADED
co-iss-n1355702179,co-iss-n1373704272,io,,2000-12-16T23:44:37.777,2001-07-13T08:17:37.333,18001979.556,,,,,SKIP_REFUSED
co-iss-n1355702203,co-iss-n1349165400,io,,2000-12-16T23:45:09.184,2000-10-02T07:59:12.083,6536757.101,,,,,SKIP_REFUSED
co-iss-n1355702251,co-iss-n1349165400,io,titan,2000-12-16T23:45:49.788,2000-10-02T07:59:12.083,6536797.705,2597611.43514,,,,SKIP_DEGRADED
co-iss-n1355863544,co-iss-n1349159506,himalia,,2000-12-18T20:34:10.455,2000-10-02T06:21:00.440,6703990.015,,,,,SKIP_REFUSED
co-iss-n1356764729,co-iss-n1356766829,ganymede,ganymede,2000-12-29T06:53:52.456,2000-12-29T07:28:52.405,2099.949,8220033.183801,10915014.968,10914889.272,0.246897,PASS
co-iss-n1356766598,co-iss-n1356764498,callisto,callisto,2000-12-29T07:24:59.602,2000-12-29T06:50:00.787,2098.815,6287619.052083,8566388.389,8558987.423,0.265378,FAIL_RANGE
co-iss-n1356766631,co-iss-n1356764531,callisto,callisto,2000-12-29T07:25:34.375,2000-12-29T06:50:34.457,2099.918,6337127.863517,8566511.968,8559105.250,0.259604,FAIL_RANGE
co-iss-n1356766664,co-iss-n1356764564,callisto,callisto,2000-12-29T07:26:06.853,2000-12-29T06:51:07.207,2099.646,6387422.529101,8566627.419,8559219.886,0.253738,FAIL_RANGE
co-iss-n1356766697,co-iss-n1356764597,callisto,callisto,2000-12-29T07:26:38.417,2000-12-29T06:51:39.786,2098.631,6337127.863517,8566739.647,8559333.951,0.259624,FAIL_RANGE
co-iss-n1357344485,co-iss-n1357346428,jupiter,,2001-01-04T23:56:23.885,2001-01-05T00:28:46.872,1942.987,,,,,SKIP_REFUSED
co-iss-n1357351283,co-iss-n1349159506,jupiter,,2001-01-05T01:49:40.798,2000-10-02T06:21:00.440,8191720.358,,,,,SKIP_REFUSED
co-iss-n1357352003,co-iss-n1357344889,jupiter,,2001-01-05T02:01:10.293,2001-01-05T00:02:36.342,7113.951,,,,,SKIP_REFUSED
co-iss-n1373702060,co-iss-n1373703663,saturn,saturn,2001-07-13T07:40:23.423,2001-07-13T08:07:06.380,1602.957,175171648.768769,,,,SKIP_SPICE
co-iss-n1373702093,co-iss-n1355863398,saturn,saturn,2001-07-13T07:41:18.166,2000-12-18T20:31:47.537,17838570.629,167621146.666667,,,,SKIP_SPICE
co-iss-n1373702127,co-iss-n1355863365,saturn,saturn,2001-07-13T07:41:50.352,2000-12-18T20:31:13.633,17838636.719,173607616.190476,,,,SKIP_SPICE
co-iss-n1373702160,co-iss-n1459651528,saturn,saturn,2001-07-13T07:42:24.159,2004-04-03T02:22:00.823,85948776.664,166188487.293447,,44531454.144,2.731935,FAIL_RANGE
co-iss-n1373702248,co-iss-n1459583758,saturn,saturn,2001-07-13T07:43:50.767,2004-04-02T07:32:28.245,85880917.478,163395403.473389,,44896511.521,2.639379,FAIL_RANGE
co-iss-n1373702320,co-iss-n1413902957,saturn,saturn,2001-07-13T07:44:33.370,2002-10-21T14:30:26.569,40200353.199,166188487.293447,,,,SKIP_SPICE
co-iss-n1373702584,co-iss-n1373702728,saturn,saturn,2001-07-13T07:49:19.388,2001-07-13T07:51:21.398,122.01,196404575.892256,,,,SKIP_SPICE
co-iss-n1373702656,co-iss-n1373702728,saturn,saturn,2001-07-13T07:50:19.395,2001-07-13T07:51:21.398,62.003,188777213.721683,,,,SKIP_SPICE
co-iss-n1373703951,co-iss-n1373704023,saturn,saturn,2001-07-13T08:11:44.398,2001-07-13T08:12:56.405,72.007,213670912.234432,,,,SKIP_SPICE
co-iss-n1413901840,co-iss-n1373701555,saturn,saturn,2002-10-21T14:12:11.577,2001-07-13T07:32:10.375,40200001.202,109236242.536397,,,,SKIP_SPICE
co-iss-n1454727359,co-iss-n1454728139,hyperion,,2004-02-06T02:33:06.307,2004-02-06T02:46:05.482,779.175,,,,,SKIP_REFUSED
co-iss-n1454729699,co-iss-n1454730479,enceladus,,2004-02-06T03:12:06.412,2004-02-06T03:25:06.347,779.935,,,,,SKIP_REFUSED
co-iss-n1455655625,co-iss-n1455657185,tethys,,2004-02-16T20:24:06.361,2004-02-16T20:50:06.161,1559.8,,,,,SKIP_REFUSED
co-iss-n1455891186,co-iss-n1455892746,phoebe,,2004-02-19T13:50:04.895,2004-02-19T14:16:05.764,1560.869,,,,,SKIP_REFUSED
co-iss-n1455932826,co-iss-n1455893526,rhea,,2004-02-20T01:24:05.543,2004-02-19T14:29:05.619,39299.924,,,,,SKIP_REFUSED
co-iss-n1457697558,co-iss-n1457744658,iapetus,,2004-03-11T11:36:05.990,2004-03-12T00:41:05.723,47099.733,,,,,SKIP_REFUSED
co-iss-n1457699118,co-iss-n1457744658,titan,,2004-03-11T12:02:05.840,2004-03-12T00:41:05.723,45539.883,,,,,SKIP_REFUSED
co-iss-n1458349882,co-iss-n1458349462,mimas,,2004-03-19T00:48:05.734,2004-03-19T00:41:05.777,419.957,,,,,SKIP_REFUSED
co-iss-n1459595749,co-iss-n1459595224,prometheus,,2004-04-02T10:52:24.094,2004-04-02T10:43:39.502,524.592,,,,,SKIP_REFUSED
co-iss-n1459605008,co-iss-n1459605529,saturn_rings,,2004-04-02T13:25:57.698,2004-04-02T13:27:44.695,106.997,,,,,SKIP_REFUSED
co-iss-n1459727015,co-iss-n1459729084,saturn_rings,saturn_rings,2004-04-03T23:20:09.099,2004-04-03T23:54:38.070,2068.971,75519999.649253,,,,SKIP_DEGRADED
co-iss-n1459727048,co-iss-n1459729118,saturn_rings,saturn_rings,2004-04-03T23:20:42.243,2004-04-03T23:55:12.210,2069.967,80459356.550652,,,,SKIP_DEGRADED
co-iss-n1459727088,co-iss-n1459729159,saturn_rings,saturn_rings,2004-04-03T23:21:19.131,2004-04-03T23:55:50.090,2070.959,82446011.291263,,,,SKIP_DEGRADED
co-iss-n1459727128,co-iss-n1459729199,saturn_rings,saturn_rings,2004-04-03T23:22:00.330,2004-04-03T23:56:31.290,2070.96,77652629.042989,,,,SKIP_DEGRADED
co-iss-n1459803935,co-iss-n1459803671,saturn_rings,saturn_rings,2004-04-04T20:38:29.422,2004-04-04T20:37:13.420,76.002,92202953.467966,,,,SKIP_DEGRADED
co-iss-n1459803991,co-iss-n1459804255,saturn_rings,,2004-04-04T20:42:33.430,2004-04-04T20:43:49.432,76.002,,,,,SKIP_REFUSED
co-iss-n1459805431,co-iss-n1459805167,saturn_rings,,2004-04-04T21:03:25.401,2004-04-04T21:01:01.395,144.006,,,,,SKIP_REFUSED
co-iss-n1459806039,co-iss-n1459805903,saturn_rings,saturn_rings,2004-04-04T21:15:33.397,2004-04-04T21:14:25.390,68.007,94247780.141587,,,,SKIP_DEGRADED
co-iss-n1459808886,co-iss-n1459806760,saturn_rings,,2004-04-04T22:04:40.126,2004-04-04T21:22:54.392,2505.734,,,,,SKIP_REFUSED
co-iss-n1459823196,co-iss-n1459820132,epimetheus,saturn_rings,2004-04-05T02:03:09.613,2004-04-05T01:12:06.053,3063.56,74437704.163001,,,,SKIP_DEGRADED
co-iss-n1459828326,co-iss-n1459820132,saturn_rings,saturn_rings,2004-04-05T03:28:39.984,2004-04-05T01:12:06.053,8193.931,71807794.321128,,,,SKIP_DEGRADED
co-iss-n1459878186,co-iss-n1459920426,saturn_rings,,2004-04-05T17:19:39.675,2004-04-06T05:03:39.400,42239.725,,,,,SKIP_REFUSED
co-iss-n1460273634,co-iss-n1460158642,titan,titan,2004-04-10T07:09:47.355,2004-04-08T23:13:08.104,114999.251,27735795.698925,41735683.262,42785522.849,0.351748,FAIL_RANGE
co-iss-n1460285049,co-iss-n1460286279,pandora,saturn_rings,2004-04-10T10:20:39.605,2004-04-10T10:41:09.597,1229.992,69875741.079767,,,,SKIP_DEGRADED
co-iss-n1460625337,co-iss-n1460629661,titan,,2004-04-14T08:52:05.809,2004-04-14T10:04:09.360,4323.551,,,,,SKIP_REFUSED
co-iss-n1461313661,co-iss-n1461315581,mimas,,2004-04-22T08:04:05.466,2004-04-22T08:36:05.453,1919.987,,,,,SKIP_REFUSED
co-iss-n1463011407,co-iss-n1463010777,janus,saturn_rings,2004-05-11T23:39:39.848,2004-05-11T23:29:09.852,629.996,58215246.843141,,,,SKIP_DEGRADED
co-iss-n1463331415,co-iss-n1463330515,iapetus,,2004-05-15T16:33:06.324,2004-05-15T16:18:06.370,899.954,,,,,SKIP_REFUSED
co-iss-n1463628417,co-iss-n1463731771,enceladus,,2004-05-19T03:03:06.450,2004-05-20T07:45:39.156,103352.706,,,,,SKIP_REFUSED
co-iss-n1463734497,co-iss-n1463731771,rhea,,2004-05-20T08:31:05.739,2004-05-20T07:45:39.156,2726.583,,,,,SKIP_REFUSED
co-iss-n1464507171,co-iss-n1464447906,atlas,,2004-05-29T07:08:54.106,2004-05-28T14:41:09.492,59264.614,,,,,SKIP_REFUSED
co-iss-n1464548523,co-iss-n1464624183,dione,,2004-05-29T18:38:06.437,2004-05-30T15:39:05.944,75659.507,,,,,SKIP_REFUSED
co-iss-n1464874625,co-iss-n1464873324,iapetus,,2004-06-02T13:13:06.273,2004-06-02T12:51:24.721,1301.552,,,,,SKIP_REFUSED
co-iss-n1465024225,co-iss-n1465024510,dione,,2004-06-04T06:46:24.739,2004-06-04T06:51:09.737,284.998,,,,,SKIP_REFUSED
co-iss-n1465737790,co-iss-n1465737130,rhea,titan,2004-06-12T12:59:05.691,2004-06-12T12:48:05.696,659.995,29648609.195402,,,,SKIP_DEGRADED
co-iss-n1466445929,co-iss-n1466514299,tethys,tethys,2004-06-20T17:41:19.159,2004-06-21T12:40:49.034,68369.875,4792914.342342,6521433.089,6439774.237,0.255733,FAIL_RANGE
co-iss-n1466445948,co-iss-n1466514318,tethys,tethys,2004-06-20T17:41:38.943,2004-06-21T12:41:08.538,68369.595,4926050.851852,6521177.675,6439842.839,0.235067,PASS
co-iss-n1466445967,co-iss-n1466514337,tethys,tethys,2004-06-20T17:41:57.903,2004-06-21T12:41:27.497,68369.594,4926050.851852,6520933.023,6439909.458,0.235075,PASS
co-iss-n1466445987,co-iss-n1466514357,tethys,tethys,2004-06-20T17:42:17.350,2004-06-21T12:41:47.045,68369.695,4792914.342342,6520682.213,6439978.078,0.255756,FAIL_RANGE
co-iss-n1466446025,co-iss-n1520601185,tethys,tethys,2004-06-20T17:42:55.354,2006-03-09T12:43:05.864,54154810.51,4926050.851852,6520192.441,2621198.444,0.879312,FAIL_RANGE
co-iss-n1466514752,co-iss-n1460156918,enceladus,,2004-06-21T12:48:20.762,2004-04-08T22:45:05.512,6357795.25,,,,,SKIP_REFUSED
co-iss-n1469848237,co-iss-n1468546649,enceladus,,2004-07-30T02:46:05.940,2004-07-15T01:13:06.417,1301579.523,,,,,SKIP_REFUSED
co-iss-n1470494381,co-iss-n1471212406,enceladus,,2004-08-06T14:15:05.732,2004-08-14T21:42:06.055,718020.323,,,,,SKIP_REFUSED
co-iss-n1474254737,co-iss-n1474254073,saturn,,2004-09-19T02:47:02.285,2004-09-19T02:35:58.289,663.996,,,,,SKIP_REFUSED
co-iss-n1474255052,co-iss-n1466586165,saturn,saturn,2004-09-19T02:52:22.318,2004-06-22T08:38:17.242,7668845.076,20275286.288213,8280314.014,5869369.329,2.454423,FAIL_RANGE
co-iss-n1474255494,co-iss-n1474253612,saturn,saturn,2004-09-19T02:59:32.291,2004-09-19T02:28:10.319,1881.972,37976636.278071,8279946.294,8281555.113,3.585689,FAIL_RANGE
co-iss-n1474259673,co-iss-n1474254273,saturn,,2004-09-19T04:09:25.072,2004-09-19T02:39:25.107,5399.965,,,,,SKIP_REFUSED
co-iss-n1474260452,co-iss-n1466586165,saturn,saturn,2004-09-19T04:22:22.283,2004-06-22T08:38:17.242,7674245.041,19942561.796469,8275689.256,5869369.329,2.397735,FAIL_RANGE
co-iss-n1476593665,co-iss-n1476593320,prometheus,,2004-10-16T04:29:09.336,2004-10-16T04:23:24.338,344.998,,,,,SKIP_REFUSED
co-iss-n1478411947,co-iss-n1478972515,calypso,,2004-11-06T05:33:39.470,2004-11-12T17:16:23.811,560564.341,,,,,SKIP_REFUSED
co-iss-n1479721530,co-iss-n1478972515,telesto,,2004-11-21T09:19:53.923,2004-11-12T17:16:23.811,749010.112,,,,,SKIP_REFUSED
co-iss-n1479723600,co-iss-n1478972515,helene,,2004-11-21T09:54:23.910,2004-11-12T17:16:23.811,751080.099,,,,,SKIP_REFUSED
co-iss-n1488887385,co-iss-n1488551713,pan,,2005-03-07T11:23:09.428,2005-03-03T14:08:39.662,335669.766,,,,,SKIP_REFUSED
co-iss-n1496908032,co-iss-n1496910452,polydeuces,,2005-06-08T07:19:43.774,2005-06-08T08:00:03.759,2419.985,,,,,SKIP_REFUSED
co-iss-n1501557414,co-iss-n1466586191,pallene,,2005-08-01T02:48:55.445,2004-06-22T08:38:56.646,34970998.799,,,,,SKIP_REFUSED
co-iss-n1503914274,co-iss-n1502796764,methone,,2005-08-28T09:29:42.851,2005-08-15T11:04:39.444,1117503.407,,,,,SKIP_REFUSED
co-iss-n1520601463,co-iss-n1520603237,saturn,,2006-03-09T12:47:43.437,2006-03-09T13:17:17.426,1773.989,,,,,SKIP_REFUSED
co-iss-n1520601919,co-iss-n1520603693,saturn,saturn,2006-03-09T12:55:12.207,2006-03-09T13:24:46.196,1773.989,75953317.201537,2915689.583,2915457.163,25.051941,FAIL_RANGE
co-iss-n1520603948,co-iss-n1520602174,saturn,saturn,2006-03-09T13:29:08.402,2006-03-09T12:59:34.413,1773.989,18988273.493615,2915421.795,2915655.983,5.512522,FAIL_RANGE
co-iss-n1520604644,co-iss-n1520602870,saturn,saturn,2006-03-09T13:40:41.598,2006-03-09T13:11:07.609,1773.989,76251173.463918,2915327.037,2915565.896,25.153130,FAIL_RANGE
co-iss-n1521540615,co-iss-n1521540830,daphnis,,2006-03-20T09:40:10.405,2006-03-20T09:43:45.388,214.983,,,,,SKIP_REFUSED
co-iss-n1521540651,co-iss-n1521540830,daphnis,,2006-03-20T09:40:46.389,2006-03-20T09:43:45.388,178.999,,,,,SKIP_REFUSED
co-iss-n1521540684,co-iss-n1521540830,daphnis,,2006-03-20T09:41:19.389,2006-03-20T09:43:45.388,145.999,,,,,SKIP_REFUSED
co-iss-n1521540724,co-iss-n1521540830,daphnis,,2006-03-20T09:41:59.389,2006-03-20T09:43:45.388,105.999,,,,,SKIP_REFUSED
co-iss-n1542051156,co-iss-n1542049821,saturn_rings,,2006-11-12T19:00:20.356,2006-11-12T18:38:05.365,1334.991,,,,,SKIP_REFUSED
co-iss-n1542069846,co-iss-n1542068511,saturn_rings,,2006-11-13T00:11:50.277,2006-11-12T23:49:35.286,1334.991,,,,,SKIP_REFUSED
co-iss-n1554021811,co-iss-n1554022029,pluto,,2007-03-31T08:09:13.760,2007-03-31T08:10:37.759,83.999,,,,,SKIP_REFUSED
co-iss-n1557224116,co-iss-n1557226136,skathi,,2007-05-07T09:40:02.480,2007-05-07T10:13:42.452,2019.972,,,,,SKIP_REFUSED
co-iss-n1557225940,co-iss-n1557223882,mundilfari,,2007-05-07T10:10:26.453,2007-05-07T09:36:08.482,2057.971,,,,,SKIP_REFUSED
co-iss-n1557228653,co-iss-n1557226136,kiviuq,,2007-05-07T10:55:39.436,2007-05-07T10:13:42.452,2516.984,,,,,SKIP_REFUSED
co-iss-n1557228849,co-iss-n1559969419,kiviuq,,2007-05-07T10:58:55.435,2007-06-08T04:14:48.113,2740552.678,,,,,SKIP_REFUSED
co-iss-n1557900912,co-iss-n1558092041,ijiraq,,2007-05-15T05:39:54.187,2007-05-17T10:45:03.977,191109.79,,,,,SKIP_REFUSED
co-iss-n1558092237,co-iss-n1558092041,bestla,,2007-05-17T10:48:37.979,2007-05-17T10:45:03.977,214.002,,,,,SKIP_REFUSED
co-iss-n1558092335,co-iss-n1557901010,bestla,,2007-05-17T10:50:15.979,2007-05-15T05:41:32.186,191323.793,,,,,SKIP_REFUSED
co-iss-n1559278887,co-iss-n1559769490,fornjot,,2007-05-31T04:26:00.454,2007-06-05T20:42:40.347,490599.893,,,,,SKIP_REFUSED
co-iss-n1559471068,co-iss-n1559969419,siarnaq,,2007-06-02T09:49:00.272,2007-06-08T04:14:48.113,498347.841,,,,,SKIP_REFUSED
co-iss-n1559472117,co-iss-n1559470540,siarnaq,,2007-06-02T10:06:29.230,2007-06-02T09:40:12.268,1576.962,,,,,SKIP_REFUSED
co-iss-n1559769392,co-iss-n1559470442,paaliaq,,2007-06-05T20:41:02.348,2007-06-02T09:38:34.260,298948.088,,,,,SKIP_REFUSED
co-iss-n1559969027,co-iss-n1559470442,s_2004_s_13,,2007-06-08T04:08:16.115,2007-06-02T09:38:34.260,498581.855,,,,,SKIP_REFUSED
co-iss-n1559969321,co-iss-n1557226724,s_2004_s_13,,2007-06-08T04:13:10.113,2007-05-07T10:23:30.448,2742579.665,,,,,SKIP_REFUSED
co-iss-n1559969719,co-iss-n1559969602,s_2004_s_13,,2007-06-08T04:19:48.119,2007-06-08T04:18:27.119,81.0,,,,,SKIP_REFUSED
co-iss-n1559970441,co-iss-n1559970324,hati,,2007-06-08T04:31:50.087,2007-06-08T04:30:29.083,81.004,,,,,SKIP_REFUSED
co-iss-n1561405712,co-iss-n1559968929,tarvos,,2007-06-24T19:12:51.987,2007-06-08T04:06:38.116,1436773.871,,,,,SKIP_REFUSED
co-iss-n1561406104,co-iss-n1559970510,tarvos,,2007-06-24T19:19:23.992,2007-06-08T04:33:49.090,1435534.902,,,,,SKIP_REFUSED
co-iss-n1562857683,co-iss-n1561407696,erriapus,,2007-07-11T14:32:13.809,2007-06-24T19:45:55.974,1449977.835,,,,,SKIP_REFUSED
co-iss-w1565236658,co-iss-w1565236841,saturn,titan,2007-08-08T03:22:55.709,2007-08-08T03:25:58.708,182.999,1802534.762653,,,,SKIP_DEGRADED
co-iss-n1565237024,co-iss-n1565241291,saturn,saturn,2007-08-08T03:28:59.727,2007-08-08T04:40:06.700,4266.973,38733144.151058,4147698.009,4148753.189,8.336093,FAIL_RANGE
co-iss-w1565240925,co-iss-w1565240699,saturn,titan,2007-08-08T04:34:02.682,2007-08-08T04:30:16.684,225.998,1769154.443428,,,,SKIP_DEGRADED
co-iss-n1565241108,co-iss-n1565241291,saturn,,2007-08-08T04:37:03.701,2007-08-08T04:40:06.700,182.999,,,,,SKIP_REFUSED
co-iss-n1565246516,co-iss-n1565246333,saturn,,2007-08-08T06:07:11.667,2007-08-08T06:04:08.668,182.999,,,,,SKIP_REFUSED
co-iss-n1574794592,co-iss-n1574794162,erriapus,,2007-11-26T18:19:24.094,2007-11-26T18:12:14.081,430.013,,,,,SKIP_REFUSED
co-iss-n1574852987,co-iss-n1577551613,ymir,,2007-11-27T10:32:38.631,2007-12-28T16:09:25.591,2698606.96,,,,,SKIP_REFUSED
co-iss-n1574853809,co-iss-n1574853281,ymir,,2007-11-27T10:46:20.644,2007-11-27T10:37:32.633,528.011,,,,,SKIP_REFUSED
co-iss-n1575064459,co-iss-n1575063821,paaliaq,,2007-11-29T21:17:09.129,2007-11-29T21:06:31.126,638.003,,,,,SKIP_REFUSED
co-iss-n1575551438,co-iss-n1575551599,titan,io,2007-12-05T12:34:08.696,2007-12-05T12:36:55.699,167.003,1190301.192091,,,,SKIP_DEGRADED
co-iss-w1575551438,co-iss-n1575551599,titan,titan,2007-12-05T12:34:31.696,2007-12-05T12:36:55.699,144.003,3944080.479369,267566.276,268431.527,13.693060,FAIL_RANGE
co-iss-n1575551688,co-iss-w1575551599,titan,io,2007-12-05T12:38:24.698,2007-12-05T12:37:12.699,71.999,2180086.890496,,,,SKIP_DEGRADED
co-iss-w1575552408,co-iss-w1575552182,titan,titan,2007-12-05T12:50:41.689,2007-12-05T12:46:55.691,225.998,3999114.176008,273395.904,272037.376,13.700606,FAIL_RANGE
co-iss-n1575553785,co-iss-n1575551761,titan,saturn,2007-12-05T13:13:35.683,2007-12-05T12:39:54.706,2020.977,38351159.902476,,,,SKIP_DEGRADED
co-iss-w1575555151,co-iss-w1575555297,titan,titan,2007-12-05T13:36:24.654,2007-12-05T13:38:50.653,145.999,4235515.077516,289898.515,290777.626,13.566166,FAIL_RANGE
co-iss-w1575588899,co-iss-w1575588343,titan,dione,2007-12-05T22:59:07.411,2007-12-05T22:49:51.415,555.996,3177206.824859,,,,SKIP_DEGRADED
co-iss-w1576842869,co-iss-w1576844818,titan,titan,2007-12-20T11:18:20.398,2007-12-20T11:50:47.585,1947.187,3371801.958882,251356.085,239496.577,13.078706,FAIL_RANGE
co-iss-w1576846797,co-iss-w1576844818,titan,titan,2007-12-20T12:23:46.571,2007-12-20T11:50:47.585,1978.986,3092839.812957,227482.465,239496.577,11.913921,FAIL_RANGE
co-iss-n1577398802,co-iss-n1577551711,kiviuq,,2007-12-26T21:42:35.671,2007-12-28T16:11:03.590,152907.919,,,,,SKIP_REFUSED
co-iss-n1577457495,co-iss-n1577551398,anthe,,2007-12-27T14:02:09.584,2007-12-28T16:05:50.585,93821.001,,,,,SKIP_REFUSED
co-iss-n1577457538,co-iss-n1577551398,anthe,,2007-12-27T14:02:53.128,2007-12-28T16:05:50.585,93777.457,,,,,SKIP_REFUSED
co-iss-w1577457538,co-iss-n1577551398,anthe,,2007-12-27T14:02:53.148,2007-12-28T16:05:50.585,93777.437,,,,,SKIP_REFUSED
co-iss-n1579169483,co-iss-w1579168971,saturn_rings,,2008-01-16T09:35:05.893,2008-01-16T09:26:34.127,511.766,,,,,SKIP_REFUSED
co-iss-w1579176488,co-iss-w1579177724,saturn_rings,,2008-01-16T11:31:51.064,2008-01-16T11:52:27.060,1235.996,,,,,SKIP_REFUSED
co-iss-w1579178787,co-iss-w1579177724,saturn_rings,,2008-01-16T12:10:10.037,2008-01-16T11:52:27.060,1062.977,,,,,SKIP_REFUSED
co-iss-w1579179448,co-iss-w1579180778,saturn_rings,,2008-01-16T12:21:11.048,2008-01-16T12:43:21.063,1330.015,,,,,SKIP_REFUSED
co-iss-w1579183262,co-iss-w1579182597,saturn_rings,saturn_rings,2008-01-16T13:24:45.046,2008-01-16T13:13:40.050,664.996,91840662.326655,,,,SKIP_DEGRADED
co-iss-w1579188884,co-iss-w1579186888,saturn_rings,,2008-01-16T14:58:27.006,2008-01-16T14:25:10.995,1996.011,,,,,SKIP_REFUSED
co-iss-w1579250166,co-iss-n1577551809,saturn_rings,saturn_rings,2008-01-17T07:59:48.584,2007-12-28T16:12:41.590,1698426.994,66213687.920807,,,,SKIP_DEGRADED
co-iss-n1596022242,co-iss-n1596022118,saturn_rings,,2008-07-29T10:52:26.272,2008-07-29T10:50:22.273,123.999,,,,,SKIP_REFUSED
