test_image_id,train_image_id,test_timestamp_utc,train_timestamp_utc,time_delta_s,body,filter
co-iss-w1349105680,co-iss-w1349093680,2000-10-01T15:23:56.306,2000-10-01T12:03:56.390,11999.916,jupiter,RED
co-iss-n1349153551,co-iss-n1349105790,2000-10-02T04:41:46.186,2000-10-01T15:25:45.502,47760.684,jupiter,CB2
co-iss-n1349159441,co-iss-n1349111680,2000-10-02T06:19:53.733,2000-10-01T17:03:53.069,47760.664,jupiter,MT3
co-iss-n1355377888,co-iss-n1355379238,2000-12-13T05:40:00.978,2000-12-13T06:02:30.950,1349.972,europa,GRN+P0
co-iss-n1355377921,co-iss-n1373703270,2000-12-13T05:40:33.986,2001-07-13T08:00:54.784,18325220.798,europa,GRN+P60
co-iss-n1355377954,co-iss-n1356766829,2000-12-13T05:41:06.990,2000-12-29T07:28:52.405,1388865.415,europa,GRN+P120
co-iss-n1355377994,co-iss-n1349165400,2000-12-13T05:41:42.398,2000-10-02T07:59:12.083,6212550.315,europa,UV1
co-iss-n1355702131,co-iss-n1373704272,2000-12-16T23:43:59.773,2001-07-13T08:17:37.333,18002017.56,io,CLEAR
co-iss-n1355702179,co-iss-n1373704272,2000-12-16T23:44:37.777,2001-07-13T08:17:37.333,18001979.556,io,CLEAR
co-iss-n1355702203,co-iss-n1349165400,2000-12-16T23:45:09.184,2000-10-02T07:59:12.083,6536757.101,io,UV1
co-iss-n1355702251,co-iss-n1349165400,2000-12-16T23:45:49.788,2000-10-02T07:59:12.083,6536797.705,io,UV1
co-iss-n1355863544,co-iss-n1349159506,2000-12-18T20:34:10.455,2000-10-02T06:21:00.440,6703990.015,himalia,MT2
co-iss-n1356764729,co-iss-n1356766829,2000-12-29T06:53:52.456,2000-12-29T07:28:52.405,2099.949,ganymede,GRN+P120
co-iss-n1356766598,co-iss-n1356764498,2000-12-29T07:24:59.602,2000-12-29T06:50:00.787,2098.815,callisto,UV3+P0
co-iss-n1356766631,co-iss-n1356764531,2000-12-29T07:25:34.375,2000-12-29T06:50:34.457,2099.918,callisto,GRN+P0
co-iss-n1356766664,co-iss-n1356764564,2000-12-29T07:26:06.853,2000-12-29T06:51:07.207,2099.646,callisto,MT2+P0
co-iss-n1356766697,co-iss-n1356764597,2000-12-29T07:26:38.417,2000-12-29T06:51:39.786,2098.631,callisto,UV3+P60
co-iss-n1357344485,co-iss-n1357346428,2001-01-04T23:56:23.885,2001-01-05T00:28:46.872,1942.987,jupiter,BL1
co-iss-n1357351283,co-iss-n1349159506,2001-01-05T01:49:40.798,2000-10-02T06:21:00.440,8191720.358,jupiter,MT2
co-iss-n1357352003,co-iss-n1357344889,2001-01-05T02:01:10.293,2001-01-05T00:02:36.342,7113.951,jupiter,HAL
co-iss-n1373702060,co-iss-n1373703663,2001-07-13T07:40:23.423,2001-07-13T08:07:06.380,1602.957,saturn,CB3
co-iss-n1373702093,co-iss-n1355863398,2001-07-13T07:41:18.166,2000-12-18T20:31:47.537,17838570.629,saturn,IR1
co-iss-n1373702127,co-iss-n1355863365,2001-07-13T07:41:50.352,2000-12-18T20:31:13.633,17838636.719,saturn,IR1+IR2
co-iss-n1373702160,co-iss-n1459651528,2001-07-13T07:42:24.159,2004-04-03T02:22:00.823,85948776.664,saturn,IR2
co-iss-n1373702248,co-iss-n1459583758,2001-07-13T07:43:50.767,2004-04-02T07:32:28.245,85880917.478,saturn,IR3
co-iss-n1373702320,co-iss-n1413902957,2001-07-13T07:44:33.370,2002-10-21T14:30:26.569,40200353.199,saturn,IR3+IR4
co-iss-n1373702584,co-iss-n1373702728,2001-07-13T07:49:19.388,2001-07-13T07:51:21.398,122.01,saturn,UV2
co-iss-n1373702656,co-iss-n1373702728,2001-07-13T07:50:19.395,2001-07-13T07:51:21.398,62.003,saturn,UV2
co-iss-n1373703951,co-iss-n1373704023,2001-07-13T08:11:44.398,2001-07-13T08:12:56.405,72.007,saturn,UV1
co-iss-n1413901840,co-iss-n1373701555,2002-10-21T14:12:11.577,2001-07-13T07:32:10.375,40200001.202,saturn,MT1
co-iss-n1454727359,co-iss-n1454728139,2004-02-06T02:33:06.307,2004-02-06T02:46:05.482,779.175,hyperion,CLEAR
co-iss-n1454729699,co-iss-n1454730479,2004-02-06T03:12:06.412,2004-02-06T03:25:06.347,779.935,enceladus,CLEAR
co-iss-n1455655625,co-iss-n1455657185,2004-02-16T20:24:06.361,2004-02-16T20:50:06.161,1559.8,tethys,CLEAR
co-iss-n1455891186,co-iss-n1455892746,2004-02-19T13:50:04.895,2004-02-19T14:16:05.764,1560.869,phoebe,CLEAR
co-iss-n1455932826,co-iss-n1455893526,2004-02-20T01:24:05.543,2004-02-19T14:29:05.619,39299.924,rhea,CLEAR
co-iss-n1457697558,co-iss-n1457744658,2004-03-11T11:36:05.990,2004-03-12T00:41:05.723,47099.733,iapetus,CLEAR
co-iss-n1457699118,co-iss-n1457744658,2004-03-11T12:02:05.840,2004-03-12T00:41:05.723,45539.883,titan,CLEAR
co-iss-n1458349882,co-iss-n1458349462,2004-03-19T00:48:05.734,2004-03-19T00:41:05.777,419.957,mimas,CLEAR
co-iss-n1459595749,co-iss-n1459595224,2004-04-02T10:52:24.094,2004-04-02T10:43:39.502,524.592,prometheus,CLEAR
co-iss-n1459605008,co-iss-n1459605529,2004-04-02T13:25:57.698,2004-04-02T13:27:44.695,106.997,saturn_rings,P0
co-iss-n1459727015,co-iss-n1459729084,2004-04-03T23:20:09.099,2004-04-03T23:54:38.070,2068.971,saturn_rings,GRN
co-iss-n1459727048,co-iss-n1459729118,2004-04-03T23:20:42.243,2004-04-03T23:55:12.210,2069.967,saturn_rings,RED
co-iss-n1459727088,co-iss-n1459729159,2004-04-03T23:21:19.131,2004-04-03T23:55:50.090,2070.959,saturn_rings,BL1
co-iss-n1459727128,co-iss-n1459729199,2004-04-03T23:22:00.330,2004-04-03T23:56:31.290,2070.96,saturn_rings,IR2
co-iss-n1459803935,co-iss-n1459803671,2004-04-04T20:38:29.422,2004-04-04T20:37:13.420,76.002,saturn_rings,P0
co-iss-n1459803991,co-iss-n1459804255,2004-04-04T20:42:33.430,2004-04-04T20:43:49.432,76.002,saturn_rings,P60
co-iss-n1459805431,co-iss-n1459805167,2004-04-04T21:03:25.401,2004-04-04T21:01:01.395,144.006,saturn_rings,P60
co-iss-n1459806039,co-iss-n1459805903,2004-04-04T21:15:33.397,2004-04-04T21:14:25.390,68.007,saturn_rings,CLEAR
co-iss-n1459808886,co-iss-n1459806760,2004-04-04T22:04:40.126,2004-04-04T21:22:54.392,2505.734,saturn_rings,CLEAR
co-iss-n1459823196,co-iss-n1459820132,2004-04-05T02:03:09.613,2004-04-05T01:12:06.053,3063.56,epimetheus,CLEAR
co-iss-n1459828326,co-iss-n1459820132,2004-04-05T03:28:39.984,2004-04-05T01:12:06.053,8193.931,saturn_rings,CLEAR
co-iss-n1459878186,co-iss-n1459920426,2004-04-05T17:19:39.675,2004-04-06T05:03:39.400,42239.725,saturn_rings,CLEAR
co-iss-n1460273634,co-iss-n1460158642,2004-04-10T07:09:47.355,2004-04-08T23:13:08.104,114999.251,titan,UV3
co-iss-n1460285049,co-iss-n1460286279,2004-04-10T10:20:39.605,2004-04-10T10:41:09.597,1229.992,pandora,CLEAR
co-iss-n1460625337,co-iss-n1460629661,2004-04-14T08:52:05.809,2004-04-14T10:04:09.360,4323.551,titan,CLEAR
co-iss-n1461313661,co-iss-n1461315581,2004-04-22T08:04:05.466,2004-04-22T08:36:05.453,1919.987,mimas,CLEAR
co-iss-n1463011407,co-iss-n1463010777,2004-05-11T23:39:39.848,2004-05-11T23:29:09.852,629.996,janus,CLEAR
co-iss-n1463331415,co-iss-n1463330515,2004-05-15T16:33:06.324,2004-05-15T16:18:06.370,899.954,iapetus,CLEAR
co-iss-n1463628417,co-iss-n1463731771,2004-05-19T03:03:06.450,2004-05-20T07:45:39.156,103352.706,enceladus,CLEAR
co-iss-n1463734497,co-iss-n1463731771,2004-05-20T08:31:05.739,2004-05-20T07:45:39.156,2726.583,rhea,CLEAR
co-iss-n1464507171,co-iss-n1464447906,2004-05-29T07:08:54.106,2004-05-28T14:41:09.492,59264.614,atlas,CLEAR
co-iss-n1464548523,co-iss-n1464624183,2004-05-29T18:38:06.437,2004-05-30T15:39:05.944,75659.507,dione,CLEAR
co-iss-n1464874625,co-iss-n1464873324,2004-06-02T13:13:06.273,2004-06-02T12:51:24.721,1301.552,iapetus,CLEAR
co-iss-n1465024225,co-iss-n1465024510,2004-06-04T06:46:24.739,2004-06-04T06:51:09.737,284.998,dione,CLEAR
co-iss-n1465737790,co-iss-n1465737130,2004-06-12T12:59:05.691,2004-06-12T12:48:05.696,659.995,rhea,CLEAR
co-iss-n1466445929,co-iss-n1466514299,2004-06-20T17:41:19.159,2004-06-21T12:40:49.034,68369.875,tethys,BL1
co-iss-n1466445948,co-iss-n1466514318,2004-06-20T17:41:38.943,2004-06-21T12:41:08.538,68369.595,tethys,RED
co-iss-n1466445967,co-iss-n1466514337,2004-06-20T17:41:57.903,2004-06-21T12:41:27.497,68369.594,tethys,GRN
co-iss-n1466445987,co-iss-n1466514357,2004-06-20T17:42:17.350,2004-06-21T12:41:47.045,68369.695,tethys,GRN+P0
co-iss-n1466446025,co-iss-n1520601185,2004-06-20T17:42:55.354,2006-03-09T12:43:05.864,54154810.51,tethys,GRN+P120
co-iss-n1466514752,co-iss-n1460156918,2004-06-21T12:48:20.762,2004-04-08T22:45:05.512,6357795.25,enceladus,IR1+IR2
co-iss-n1469848237,co-iss-n1468546649,2004-07-30T02:46:05.940,2004-07-15T01:13:06.417,1301579.523,enceladus,CLEAR
co-iss-n1470494381,co-iss-n1471212406,2004-08-06T14:15:05.732,2004-08-14T21:42:06.055,718020.323,enceladus,CLEAR
co-iss-n1474254737,co-iss-n1474254073,2004-09-19T02:47:02.285,2004-09-19T02:35:58.289,663.996,saturn,MT2
co-iss-n1474255052,co-iss-n1466586165,2004-09-19T02:52:22.318,2004-06-22T08:38:17.242,7668845.076,saturn,UV3
co-iss-n1474255494,co-iss-n1474253612,2004-09-19T02:59:32.291,2004-09-19T02:28:10.319,1881.972,saturn,MT3
co-iss-n1474259673,co-iss-n1474254273,2004-09-19T04:09:25.072,2004-09-19T02:39:25.107,5399.965,saturn,MT1
co-iss-n1474260452,co-iss-n1466586165,2004-09-19T04:22:22.283,2004-06-22T08:38:17.242,7674245.041,saturn,UV3
co-iss-n1476593665,co-iss-n1476593320,2004-10-16T04:29:09.336,2004-10-16T04:23:24.338,344.998,prometheus,CLEAR
co-iss-n1478411947,co-iss-n1478972515,2004-11-06T05:33:39.470,2004-11-12T17:16:23.811,560564.341,calypso,CLEAR
co-iss-n1479721530,co-iss-n1478972515,2004-11-21T09:19:53.923,2004-11-12T17:16:23.811,749010.112,telesto,CLEAR
co-iss-n1479723600,co-iss-n1478972515,2004-11-21T09:54:23.910,2004-11-12T17:16:23.811,751080.099,helene,CLEAR
co-iss-n1488887385,co-iss-n1488551713,2005-03-07T11:23:09.428,2005-03-03T14:08:39.662,335669.766,pan,CLEAR
co-iss-n1496908032,co-iss-n1496910452,2005-06-08T07:19:43.774,2005-06-08T08:00:03.759,2419.985,polydeuces,BL1
co-iss-n1501557414,co-iss-n1466586191,2005-08-01T02:48:55.445,2004-06-22T08:38:56.646,34970998.799,pallene,IR3
co-iss-n1503914274,co-iss-n1502796764,2005-08-28T09:29:42.851,2005-08-15T11:04:39.444,1117503.407,methone,CLEAR
co-iss-n1520601463,co-iss-n1520603237,2006-03-09T12:47:43.437,2006-03-09T13:17:17.426,1773.989,saturn,CB2+IRP0
co-iss-n1520601919,co-iss-n1520603693,2006-03-09T12:55:12.207,2006-03-09T13:24:46.196,1773.989,saturn,UV3+P60
co-iss-n1520603948,co-iss-n1520602174,2006-03-09T13:29:08.402,2006-03-09T12:59:34.413,1773.989,saturn,GRN+P0
co-iss-n1520604644,co-iss-n1520602870,2006-03-09T13:40:41.598,2006-03-09T13:11:07.609,1773.989,saturn,UV3+P0
co-iss-n1521540615,co-iss-n1521540830,2006-03-20T09:40:10.405,2006-03-20T09:43:45.388,214.983,daphnis,CLEAR
co-iss-n1521540651,co-iss-n1521540830,2006-03-20T09:40:46.389,2006-03-20T09:43:45.388,178.999,daphnis,CLEAR
co-iss-n1521540684,co-iss-n1521540830,2006-03-20T09:41:19.389,2006-03-20T09:43:45.388,145.999,daphnis,CLEAR
co-iss-n1521540724,co-iss-n1521540830,2006-03-20T09:41:59.389,2006-03-20T09:43:45.388,105.999,daphnis,CLEAR
co-iss-n1542051156,co-iss-n1542049821,2006-11-12T19:00:20.356,2006-11-12T18:38:05.365,1334.991,saturn_rings,CLEAR
co-iss-n1542069846,co-iss-n1542068511,2006-11-13T00:11:50.277,2006-11-12T23:49:35.286,1334.991,saturn_rings,CLEAR
co-iss-n1554021811,co-iss-n1554022029,2007-03-31T08:09:13.760,2007-03-31T08:10:37.759,83.999,pluto,GRN
co-iss-n1557224116,co-iss-n1557226136,2007-05-07T09:40:02.480,2007-05-07T10:13:42.452,2019.972,skathi,IR1
co-iss-n1557225940,co-iss-n1557223882,2007-05-07T10:10:26.453,2007-05-07T09:36:08.482,2057.971,mundilfari,UV3
co-iss-n1557228653,co-iss-n1557226136,2007-05-07T10:55:39.436,2007-05-07T10:13:42.452,2516.984,kiviuq,IR1
co-iss-n1557228849,co-iss-n1559969419,2007-05-07T10:58:55.435,2007-06-08T04:14:48.113,2740552.678,kiviuq,IR2
co-iss-n1557900912,co-iss-n1558092041,2007-05-15T05:39:54.187,2007-05-17T10:45:03.977,191109.79,ijiraq,GRN
co-iss-n1558092237,co-iss-n1558092041,2007-05-17T10:48:37.979,2007-05-17T10:45:03.977,214.002,bestla,GRN
co-iss-n1558092335,co-iss-n1557901010,2007-05-17T10:50:15.979,2007-05-15T05:41:32.186,191323.793,bestla,IR1
co-iss-n1559278887,co-iss-n1559769490,2007-05-31T04:26:00.454,2007-06-05T20:42:40.347,490599.893,fornjot,IR1
co-iss-n1559471068,co-iss-n1559969419,2007-06-02T09:49:00.272,2007-06-08T04:14:48.113,498347.841,siarnaq,IR2
co-iss-n1559472117,co-iss-n1559470540,2007-06-02T10:06:29.230,2007-06-02T09:40:12.268,1576.962,siarnaq,CLEAR
co-iss-n1559769392,co-iss-n1559470442,2007-06-05T20:41:02.348,2007-06-02T09:38:34.260,298948.088,paaliaq,GRN
co-iss-n1559969027,co-iss-n1559470442,2007-06-08T04:08:16.115,2007-06-02T09:38:34.260,498581.855,s_2004_s_13,GRN
co-iss-n1559969321,co-iss-n1557226724,2007-06-08T04:13:10.113,2007-05-07T10:23:30.448,2742579.665,s_2004_s_13,RED
co-iss-n1559969719,co-iss-n1559969602,2007-06-08T04:19:48.119,2007-06-08T04:18:27.119,81.0,s_2004_s_13,CLEAR
co-iss-n1559970441,co-iss-n1559970324,2007-06-08T04:31:50.087,2007-06-08T04:30:29.083,81.004,hati,CLEAR
co-iss-n1561405712,co-iss-n1559968929,2007-06-24T19:12:51.987,2007-06-08T04:06:38.116,1436773.871,tarvos,UV3
co-iss-n1561406104,co-iss-n1559970510,2007-06-24T19:19:23.992,2007-06-08T04:33:49.090,1435534.902,tarvos,CLEAR
co-iss-n1562857683,co-iss-n1561407696,2007-07-11T14:32:13.809,2007-06-24T19:45:55.974,1449977.835,erriapus,BL1
co-iss-w1565236658,co-iss-w1565236841,2007-08-08T03:22:55.709,2007-08-08T03:25:58.708,182.999,saturn,RED
co-iss-n1565237024,co-iss-n1565241291,2007-08-08T03:28:59.727,2007-08-08T04:40:06.700,4266.973,saturn,MT1
co-iss-w1565240925,co-iss-w1565240699,2007-08-08T04:34:02.682,2007-08-08T04:30:16.684,225.998,saturn,RED
co-iss-n1565241108,co-iss-n1565241291,2007-08-08T04:37:03.701,2007-08-08T04:40:06.700,182.999,saturn,MT1
co-iss-n1565246516,co-iss-n1565246333,2007-08-08T06:07:11.667,2007-08-08T06:04:08.668,182.999,saturn,MT1
co-iss-n1574794592,co-iss-n1574794162,2007-11-26T18:19:24.094,2007-11-26T18:12:14.081,430.013,erriapus,CLEAR
co-iss-n1574852987,co-iss-n1577551613,2007-11-27T10:32:38.631,2007-12-28T16:09:25.591,2698606.96,ymir,UV3
co-iss-n1574853809,co-iss-n1574853281,2007-11-27T10:46:20.644,2007-11-27T10:37:32.633,528.011,ymir,CLEAR
co-iss-n1575064459,co-iss-n1575063821,2007-11-29T21:17:09.129,2007-11-29T21:06:31.126,638.003,paaliaq,CLEAR
co-iss-n1575551438,co-iss-n1575551599,2007-12-05T12:34:08.696,2007-12-05T12:36:55.699,167.003,titan,CB3
co-iss-w1575551438,co-iss-n1575551599,2007-12-05T12:34:31.696,2007-12-05T12:36:55.699,144.003,titan,CB3
co-iss-n1575551688,co-iss-w1575551599,2007-12-05T12:38:24.698,2007-12-05T12:37:12.699,71.999,titan,CB3
co-iss-w1575552408,co-iss-w1575552182,2007-12-05T12:50:41.689,2007-12-05T12:46:55.691,225.998,titan,CB3
co-iss-n1575553785,co-iss-n1575551761,2007-12-05T13:13:35.683,2007-12-05T12:39:54.706,2020.977,titan,MT1
co-iss-w1575555151,co-iss-w1575555297,2007-12-05T13:36:24.654,2007-12-05T13:38:50.653,145.999,titan,CB3
co-iss-w1575588899,co-iss-w1575588343,2007-12-05T22:59:07.411,2007-12-05T22:49:51.415,555.996,titan,CLEAR
co-iss-w1576842869,co-iss-w1576844818,2007-12-20T11:18:20.398,2007-12-20T11:50:47.585,1947.187,titan,CB3
co-iss-w1576846797,co-iss-w1576844818,2007-12-20T12:23:46.571,2007-12-20T11:50:47.585,1978.986,titan,CB3
co-iss-n1577398802,co-iss-n1577551711,2007-12-26T21:42:35.671,2007-12-28T16:11:03.590,152907.919,kiviuq,GRN
co-iss-n1577457495,co-iss-n1577551398,2007-12-27T14:02:09.584,2007-12-28T16:05:50.585,93821.001,anthe,CLEAR
co-iss-n1577457538,co-iss-n1577551398,2007-12-27T14:02:53.128,2007-12-28T16:05:50.585,93777.457,anthe,CLEAR
co-iss-w1577457538,co-iss-n1577551398,2007-12-27T14:02:53.148,2007-12-28T16:05:50.585,93777.437,anthe,CLEAR
co-iss-n1579169483,co-iss-w1579168971,2008-01-16T09:35:05.893,2008-01-16T09:26:34.127,511.766,saturn_rings,CLEAR
co-iss-w1579176488,co-iss-w1579177724,2008-01-16T11:31:51.064,2008-01-16T11:52:27.060,1235.996,saturn_rings,CLEAR
co-iss-w1579178787,co-iss-w1579177724,2008-01-16T12:10:10.037,2008-01-16T11:52:27.060,1062.977,saturn_rings,CLEAR
co-iss-w1579179448,co-iss-w1579180778,2008-01-16T12:21:11.048,2008-01-16T12:43:21.063,1330.015,saturn_rings,CLEAR
co-iss-w1579183262,co-iss-w1579182597,2008-01-16T13:24:45.046,2008-01-16T13:13:40.050,664.996,saturn_rings,CLEAR
co-iss-w1579188884,co-iss-w1579186888,2008-01-16T14:58:27.006,2008-01-16T14:25:10.995,1996.011,saturn_rings,CLEAR
co-iss-w1579250166,co-iss-n1577551809,2008-01-17T07:59:48.584,2007-12-28T16:12:41.590,1698426.994,saturn_rings,IR1
co-iss-n1596022242,co-iss-n1596022118,2008-07-29T10:52:26.272,2008-07-29T10:50:22.273,123.999,saturn_rings,CLEAR
co-iss-n1596022302,co-iss-n1596022118,2008-07-29T10:53:26.271,2008-07-29T10:50:22.273,183.998,saturn_rings,CLEAR
co-iss-n1596022347,co-iss-n1596022118,2008-07-29T10:54:11.271,2008-07-29T10:50:22.273,228.998,saturn_rings,CLEAR
co-iss-n1596022407,co-iss-n1596022651,2008-07-29T10:55:11.270,2008-07-29T10:59:15.269,243.999,saturn_rings,CLEAR
co-iss-n1596022452,co-iss-n1596022651,2008-07-29T10:55:56.270,2008-07-29T10:59:15.269,198.999,saturn_rings,CLEAR
co-iss-n1596022512,co-iss-n1596022651,2008-07-29T10:56:56.270,2008-07-29T10:59:15.269,138.999,saturn_rings,CLEAR
co-iss-w1596023420,co-iss-n1596023484,2008-07-29T11:12:04.253,2008-07-29T11:13:08.263,64.01,saturn_rings,CLEAR
co-iss-n1610125007,co-iss-n1611809839,2009-01-08T16:16:44.987,2009-01-28T04:17:09.606,1684824.619,suttungr,CLEAR
co-iss-w1617662998,co-iss-n1617663115,2009-04-05T22:07:45.984,2009-04-05T22:09:42.988,117.004,thrymr,CLEAR
co-iss-n1617662998,co-iss-n1617663115,2009-04-05T22:07:45.984,2009-04-05T22:09:42.988,117.004,thrymr,CLEAR
co-iss-w1620495938,co-iss-w1620498631,2009-05-08T17:04:27.794,2009-05-08T17:49:20.685,2692.891,saturn_rings,CLEAR
co-iss-n1620640892,co-iss-n1620641477,2009-05-10T09:20:19.593,2009-05-10T09:30:04.589,584.996,saturn_rings,CLEAR
co-iss-n1620642257,co-iss-n1620642842,2009-05-10T09:43:04.583,2009-05-10T09:52:49.579,584.996,saturn_rings,CLEAR
co-iss-n1620646352,co-iss-n1620645572,2009-05-10T10:51:19.554,2009-05-10T10:38:19.560,779.994,saturn_rings,CLEAR
co-iss-n1628416567,co-iss-n1628417141,2009-08-08T09:11:00.557,2009-08-08T09:20:34.553,573.996,saturn,CLEAR
co-iss-n1628421211,co-iss-n1628420637,2009-08-08T10:28:24.524,2009-08-08T10:18:50.528,573.996,saturn,CLEAR
co-iss-n1628425316,co-iss-n1628425916,2009-08-08T11:36:49.503,2009-08-08T11:46:49.499,599.996,saturn,CLEAR
co-iss-n1628426716,co-iss-n1628425916,2009-08-08T12:00:09.493,2009-08-08T11:46:49.499,799.994,saturn,CLEAR
co-iss-n1628427316,co-iss-n1628428116,2009-08-08T12:10:09.489,2009-08-08T12:23:29.483,799.994,saturn,CLEAR
co-iss-n1628433764,co-iss-n1628433190,2009-08-08T13:57:37.435,2009-08-08T13:48:03.439,573.996,saturn,CLEAR
co-iss-n1630961062,co-iss-n1630960936,2009-09-06T20:01:01.440,2009-09-06T19:59:45.857,75.583,kari,CLEAR
co-iss-w1630961062,co-iss-n1630960936,2009-09-06T20:01:56.880,2009-09-06T19:59:45.857,131.023,kari,CLEAR
co-iss-n1631614576,co-iss-n1631615222,2009-09-14T09:32:24.879,2009-09-14T09:43:10.886,646.007,ijiraq,CLEAR
co-iss-w1643264504,co-iss-n1643264273,2010-01-27T05:37:42.221,2010-01-27T05:34:01.195,221.026,aegaeon,CLEAR
co-iss-n1644268128,co-iss-n1644267925,2010-02-07T20:21:49.052,2010-02-07T20:18:26.053,202.999,skoll,CLEAR
co-iss-n1648533433,co-iss-n1648533937,2010-03-29T05:11:21.712,2010-03-29T05:19:45.716,504.004,bebhionn,CLEAR
co-iss-n1650145965,co-iss-n1648533937,2010-04-16T21:06:42.163,2010-03-29T05:19:45.716,1612016.447,albiorix,CLEAR
co-iss-n1650147103,co-iss-n1617663546,2010-04-16T21:24:02.182,2009-04-05T22:16:53.996,32483228.186,albiorix,IR1
co-iss-n1661529677,co-iss-n1661528997,2010-08-26T15:13:34.658,2010-08-26T15:02:14.663,679.995,hyrrokkin,CLEAR
co-iss-n1661582175,co-iss-n1661582439,2010-08-27T05:46:32.281,2010-08-27T05:50:56.280,263.999,greip,CLEAR
co-iss-n1667135008,co-iss-n1650147783,2010-10-30T12:00:05.434,2010-04-16T21:35:22.185,16986283.249,bergelmir,RED
co-iss-n1684084195,co-iss-n1684083931,2011-05-14T16:17:45.049,2011-05-14T16:13:21.051,263.998,s_2004_s_12,CLEAR
co-iss-n1691633139,co-iss-n1691633721,2011-08-10T01:16:20.897,2011-08-10T01:26:02.893,581.996,saturn,BL1
co-iss-n1691635643,co-iss-n1691636225,2011-08-10T01:58:00.661,2011-08-10T02:07:42.657,581.996,saturn,MT2
co-iss-n1691636719,co-iss-n1691637301,2011-08-10T02:15:58.054,2011-08-10T02:25:40.050,581.996,saturn,CB2
co-iss-w1691660167,co-iss-n1650147783,2011-08-10T08:46:49.105,2010-04-16T21:35:22.185,41512286.92,saturn,RED
co-iss-n1691767707,co-iss-n1691767187,2011-08-11T14:31:28.426,2011-08-11T14:22:48.429,519.997,tarqeq,CLEAR
co-iss-n1697869850,co-iss-n1697868810,2011-10-21T05:33:12.806,2011-10-21T05:15:52.812,1039.994,loge,CLEAR
co-iss-n1709936623,co-iss-n1709936103,2012-03-08T21:24:49.374,2012-03-08T21:16:09.377,519.997,jarnsaxa,CLEAR
co-iss-n1734876022,co-iss-n1734875502,2012-12-22T12:58:49.073,2012-12-22T12:50:09.076,519.997,surtur,CLEAR
co-iss-n1737253518,co-iss-n1737253990,2013-01-19T01:31:09.429,2013-01-19T01:39:01.426,471.997,saturn_rings,CLEAR
co-iss-n1737255170,co-iss-n1737254816,2013-01-19T01:58:41.419,2013-01-19T01:52:47.421,353.998,saturn_rings,CLEAR
co-iss-n1737256468,co-iss-n1737256822,2013-01-19T02:20:19.410,2013-01-19T02:26:13.408,353.998,saturn_rings,CLEAR
co-iss-n1737261070,co-iss-n1737261424,2013-01-19T03:37:01.381,2013-01-19T03:42:55.379,353.998,saturn_rings,CLEAR
co-iss-n1743017284,co-iss-n1743017804,2013-03-26T18:25:39.409,2013-03-26T18:34:19.405,519.996,narvi,CLEAR
co-iss-n1747571767,co-iss-n1747571647,2013-05-18T11:40:52.762,2013-05-18T11:38:52.763,119.999,saturn,CLEAR
